system:index,Aspect_deg,Elevation_m,MTBS_Severity,Month6_NBR,Month6_NDVI,NLCD2016,Postfire_NBR,Postfire_NDVI,Prefire_NBR,Prefire_NDVI,Slope_deg,Year10_NBR,Year10_NDVI,Year1_NBR,Year1_NDVI,Year5_NBR,Year5_NDVI,Year9_NBR,Year9_NDVI,dNBR,lat,lon,.geo
7700_0,244.96922,1461.1941,1,-0.062956505,0.14822917,52,-0.040810928,0.14472567,-0.004005373,0.16513702,36.87286,0.02601712,0.19481082,-0.0018530941,0.17034665,0.020252617,0.17522623,-0.015352291,0.16195022,0.036805555,34.36909420393833,-117.52536787017611,"{""type"":""MultiPoint"",""coordinates"":[]}"
7701_0,92.949234,1829.3315,2,-0.030608444,0.22726706,71,-0.1146167,0.18154941,0.23786065,0.374308,25.026287,0.35034162,0.46052667,0.120896265,0.2924444,0.16519201,0.33659396,0.23660167,0.355616,0.35247734,34.31713537182399,-117.59093599206642,"{""type"":""MultiPoint"",""coordinates"":[]}"
7702_0,155.92216,923.26904,2,-0.0634374,0.20044273,71,-0.3071801,0.13553838,0.046859574,0.26057157,23.484539,0.18154198,0.34073126,0.04176775,0.1987154,-0.01563936,0.19843544,0.039197195,0.27155808,0.3540397,34.29394397130996,-117.46132717106848,"{""type"":""MultiPoint"",""coordinates"":[]}"
7703_0,208.3171,1181.4086,2,-0.11984817,0.16633031,71,-0.25845087,0.1485846,-0.005111936,0.2470835,15.745646,0.041457098,0.26075873,-0.101834156,0.15534316,-0.030283464,0.21301831,-0.060642794,0.21848412,0.25333893,34.33688009311409,-117.43197042093435,"{""type"":""MultiPoint"",""coordinates"":[]}"
7704_0,308.14517,1010.98346,3,-0.076791145,0.27475435,71,-0.30421272,0.15393983,0.080021426,0.31861076,18.043354,0.0721869,0.27872816,-0.050405968,0.18452053,0.028157897,0.25168818,-0.029173689,0.27054316,0.38423416,34.31114533990121,-117.4585596874001,"{""type"":""MultiPoint"",""coordinates"":[]}"
7705_0,347.50864,1351.5824,3,-0.22432652,0.18512128,71,-0.38113284,0.1358441,0.06578769,0.36858156,9.477894,0.21290456,0.430215,-0.08640557,0.24830452,-0.00160942,0.28840134,0.029279426,0.34399363,0.44692054,34.35650612103004,-117.55621308237629,"{""type"":""MultiPoint"",""coordinates"":[]}"
7706_0,326.07367,1602.7831,3,-0.14135149,0.1251909,71,-0.19328907,0.14196208,0.121927634,0.2898916,23.58213,0.18611625,0.3538999,-0.12687752,0.16049004,0.04019309,0.24328873,0.086593986,0.29013804,0.3152167,34.35465615011262,-117.57612665565217,"{""type"":""MultiPoint"",""coordinates"":[]}"
7707_0,186.65472,989.1523,2,0.042917307,0.3124529,71,-0.19499479,0.14937602,0.20087747,0.38568333,7.95005,0.2361992,0.42173374,0.08891006,0.2598034,0.18515885,0.35427433,0.19497094,0.42168346,0.39587227,34.2897136387994,-117.48996367131639,"{""type"":""MultiPoint"",""coordinates"":[]}"
7708_0,73.66538,1695.4878,2,-0.28191546,0.14755361,21,-0.3722248,0.14961629,0.14876932,0.39838925,15.781082,0.42866883,0.55341184,0.026291385,0.3154219,0.13801889,0.3479818,0.2037067,0.40782028,0.5209941,34.30070755925055,-117.54987596222352,"{""type"":""MultiPoint"",""coordinates"":[]}"
7709_0,94.608635,1352.4016,2,-0.16931179,0.19975261,71,-0.32494235,0.16011491,-0.113113515,0.22487266,13.045526,0.18122296,0.39622724,-0.06452072,0.24691221,0.026336549,0.25391427,-0.103474334,0.23451042,0.21182884,34.387834722082154,-117.5341879470694,"{""type"":""MultiPoint"",""coordinates"":[]}"
