system:index,Aspect_deg,Burned_Since_1996,Elevation_m,MTBS_Severity,Month6_NBR,Month6_NDVI,NLCD2016,Postfire_NBR,Postfire_NDVI,Prefire_NBR,Prefire_NDVI,Slope_deg,Year10_NBR,Year10_NDVI,Year1_NBR,Year1_NDVI,Year5_NBR,Year5_NDVI,Year9_NBR,Year9_NDVI,dNBR,group,lat,lon,.geo
1_8854_0,226.28514,1,1290.0845,2,-0.030617408,0.22970891,71,-0.03995491,0.19657382,0.050741114,0.24053006,41.767437,0.1234978,0.3140461,0.017080117,0.23587166,0.041461524,0.22332944,0.096021704,0.28678763,0.09069602,burned,34.301706906441424,-117.4947982146842,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8855_0,172.2298,1,812.5576,2,-0.05166201,0.3276796,71,-0.35720724,0.17866383,0.15152994,0.40945268,3.0750034,0.077487595,0.37324086,0.069201834,0.31974363,0.11408746,0.3662763,0.08502542,0.40378177,0.5087372,burned,34.26829684338876,-117.45733366121527,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8856_0,14.017528,1,1390.3447,1,-0.10716297,0.1288004,71,-0.24729775,0.14331403,-0.059604608,0.20643431,4.1294065,0.08454958,0.29824182,-0.037416715,0.1998714,-0.04577055,0.21720088,-0.104882225,0.20955758,0.18769313,burned,34.38286871396738,-117.54329979870435,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8857_0,331.87204,1,941.5288,2,0.07804955,0.3175189,71,-0.23075715,0.15255764,0.1263644,0.32042575,6.246625,0.12941474,0.28917217,0.061688915,0.21955375,0.051137738,0.27367502,0.054036405,0.27584893,0.35712153,burned,34.29444017919533,-117.47111962912409,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8858_0,96.954254,1,1472.7032,3,-0.40135592,0.18486953,71,-0.43044174,0.13225463,0.018811155,0.33970192,9.134433,0.09186977,0.3583397,-0.18254197,0.25061452,-0.055312768,0.24912527,-0.012287329,0.29741567,0.4492529,burned,34.366527234181255,-117.57639659966063,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8859_0,188.22981,1,1192.396,2,-0.3132272,0.15638678,71,-0.40569052,0.14790583,-0.046129208,0.2998993,3.0924098,0.13214816,0.37178445,-0.15583842,0.17795756,-0.005364313,0.2720091,-0.019347882,0.2626847,0.3595613,burned,34.351603505963496,-117.51247415373591,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8860_0,261.7137,1,1316.8544,2,-0.013651436,0.23812313,52,-0.0064162198,0.23776893,0.08697286,0.31573936,35.186565,0.29760543,0.47336903,0.10562251,0.334499,0.11799655,0.32280627,0.18309477,0.40726814,0.09338909,burned,34.310418724560435,-117.52513427583018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8861_0,227.65538,1,1319.0361,1,-0.0035881265,0.28312454,71,-0.01577051,0.2012512,0.00577089,0.21696895,28.242085,0.13395904,0.29765955,0.040146817,0.24278115,0.011323076,0.21195616,-0.03058372,0.23283723,0.0215414,burned,34.34703658101215,-117.45743875079893,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8862_0,153.60994,1,820.06354,2,-0.09198539,0.10564566,71,-0.10808071,0.08969005,0.016445827,0.16982782,10.495526,0.04253962,0.17630443,-0.03417984,0.121365614,-0.016766826,0.15219174,0.017185133,0.16698085,0.12452654,burned,34.270641755894914,-117.4552042678001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8863_0,204.58655,0,1150.4655,1,0.046758287,0.079721175,71,0.033358295,0.059590627,0.01940373,0.07952373,5.231917,0.029579435,0.09547527,0.024478504,0.08917209,0.030985355,0.10459369,0.019241609,0.08904701,-0.013954564,burned,34.326010212090175,-117.43066749101604,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8864_0,173.51958,1,976.02295,2,-0.04718961,0.15489005,71,-0.22458492,0.16505614,0.159104,0.35800758,33.48298,0.19064005,0.35977373,0.03903393,0.19239327,0.115741715,0.26307085,0.13638465,0.31622863,0.38368893,burned,34.28608270801058,-117.48000260252543,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8865_0,44.7062,1,1298.8734,1,0.15180902,0.4726252,52,0.18750525,0.39871725,0.27680847,0.45191938,19.706877,0.406917,0.56520504,0.32537702,0.50281763,0.20026647,0.4100857,0.3323207,0.49982452,0.08930324,burned,34.277786203356705,-117.50788235064744,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8866_0,40.925903,1,1749.5681,2,0.02106435,0.2339202,71,0.0532505,0.2598819,0.15078573,0.33452117,33.46494,0.061633956,0.25638276,0.025643276,0.23719853,0.02687289,0.2463659,0.037981577,0.2398728,0.09753523,burned,34.36241947528648,-117.59629995527162,"{""type"":""MultiPoint"",""coordinates"":[]}"
